user_id	user_name	friend_count	follower_count	status_count	favorite_count	account_age	user_location	geocode.formatted_address	geocode.location.lat	geocode.location.lng
122751484	TotalVegas	6079	6149	144730	0	13 Mar 2010 19:40:26 GMT	"Las Vegas	 Nevada"	"Las Vegas	 NV	 USA"	36.1699412	-115.1398296
122776470	stratfordangel	10783	10375	32654	0	13 Mar 2010 21:41:19 GMT	"Barcelona	 Catalonia."	"Barcelona	 Spain"	41.3850639	2.1734035
122835680	AZGadsden	11013	10312	4564	0	14 Mar 2010 02:50:17 GMT	"Cave Creek	 AZ"	"Cave Creek	 AZ 85331	 USA"	33.8333716	-111.9507042
123674947	karenwbrown	15866	15029	105443	0	16 Mar 2010 21:50:14 GMT	"New York	 USA"	"New York	 NY	 USA"	40.7127837	-74.0059413
125606505	KonradiusI	5784	5580	6686	0	23 Mar 2010 09:24:00 GMT	"Vienna	 Hong Kong	 Changsha"	"Changsha	 Hunan	 China"	28.228209	112.938814
126121052	Niallators	5405	5960	41354	0	24 Mar 2010 22:20:07 GMT	BIRMINGHAM!	"Birmingham	 AL	 USA"	33.5206608	-86.80249
126424795	StarAdvertiser	5314	6224	20535	0	25 Mar 2010 20:54:58 GMT	"Honolulu	 Hawaii"	"Honolulu	 HI	 USA"	21.3069444	-157.8583333
12699932	SunSentinel	7140	13239	14841	0	25 Jan 2008 22:16:56 GMT	South Florida	"Florida	 USA"	27.6648274	-81.5157535
12705772	universalhub	6891	7379	36420	0	26 Jan 2008 01:46:42 GMT	"Boston	 MA"	"Boston	 MA	 USA"	42.3600825	-71.0588801
127541145	Jasmineator	7763	7251	57931	0	29 Mar 2010 14:52:58 GMT	JasmineVille	"Jasmine Ln	 Louisville	 KY 40228	 USA"	38.1287243	-85.6083968
127553107	TheAntiqueTrade	7764	7208	1654	0	29 Mar 2010 15:39:27 GMT	"Manchester	 UK"	"Manchester	 UK"	53.4807593	-2.2426305
12797	Tojosan	6477	7952	110362	0	17 Nov 2006 03:30:55 GMT	"St. Louis	 Mo"	"St. Louis	 MO	 USA"	38.6270025	-90.1994042
12811952	Suntimes	14935	26464	23816	0	29 Jan 2008 02:38:26 GMT	Chicago	"Chicago	 IL	 USA"	41.8781136	-87.6297982
129360573	AmerHeroesRadio	7074	6595	18491	0	4 Apr 2010 01:59:08 GMT	"San Dimas	 CA"	"San Dimas	 CA	 USA"	34.1066756	-117.8067257
131103229	brookedunne	9642	9126	10074	0	9 Apr 2010 08:09:22 GMT	"Las Vegas	 NV"	"Las Vegas	 NV	 USA"	36.1699412	-115.1398296
131121225	JezzzyBieber	6776	8307	18284	0	9 Apr 2010 09:47:21 GMT	United Kingdom.	United Kingdom	55.378051	-3.435973
131454684	DrakeProfessor	9141	8315	68616	0	10 Apr 2010 09:22:14 GMT	Phoenix	"Phoenix	 AZ	 USA"	33.4483771	-112.0740373
